% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2231 +2.221787976e+03 +2.221787976e+03 +2.336047976e+03 +2.336047976e+03 +2.5209e+00 -2.8115e+00 -3.3691e+00 -5.5813e-02 +4.9119e-02
2753 +8.230885971e+02 +8.230885971e+02 +9.373485971e+02 +9.373485971e+02 +1.6218e-01 -2.8626e+00 -2.2459e+00 -1.8054e+00 -9.5076e-01
3404 +3.384884938e+02 +3.384884938e+02 +4.527484938e+02 +4.527484938e+02 -6.2501e-01 -2.9381e+00 -2.0645e+00 -2.3233e+00 -1.2495e+00
% function evaluation | noise-free fitness - Fopt (1.393000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.137256740e+06 +2.137256740e+06 +2.137270670e+06 +2.137270670e+06 -7.4011e-01 +4.7987e+00 -4.4043e+00 -4.6759e+00 -4.1049e-01
2 +2.621376953e+05 +2.621376953e+05 +2.621516253e+05 +2.621516253e+05 +2.9187e+00 +1.1853e+00 -3.9909e+00 -8.0646e-01 -4.3664e-01
3 +1.366589193e+05 +1.366589193e+05 +1.366728493e+05 +1.366728493e+05 -2.1972e+00 +4.0933e+00 -2.6635e+00 -4.0779e+00 -2.0985e+00
144 +9.487357412e+04 +9.487357412e+04 +9.488750412e+04 +9.488750412e+04 +4.8676e+00 -2.2516e-01 -7.8090e-01 -3.8010e-01 -4.1832e+00
297 +1.470315033e+04 +1.470315033e+04 +1.471708033e+04 +1.471708033e+04 +1.7159e+00 +2.4619e+00 +5.0000e+00 +3.4915e+00 +1.1431e+00
453 +7.860804563e+03 +7.860804563e+03 +7.874734563e+03 +7.874734563e+03 +1.3958e+00 +2.8116e+00 +5.0000e+00 +3.6437e+00 +1.1008e+00
952 +1.931049964e+03 +1.931049964e+03 +1.944979964e+03 +1.944979964e+03 +2.2851e+00 +2.7562e+00 +5.0000e+00 +5.0000e+00 +2.7515e+00
1427 +1.178578843e+03 +1.178578843e+03 +1.192508843e+03 +1.192508843e+03 +2.2032e+00 +2.8605e+00 +5.0000e+00 +5.0000e+00 +3.0307e+00
2437 +9.730529132e+02 +9.730529132e+02 +9.869829132e+02 +9.869829132e+02 +2.4575e+00 +2.6271e+00 +5.0000e+00 +5.0000e+00 +2.8510e+00
2679 +3.801677606e+02 +3.801677606e+02 +3.940977606e+02 +3.940977606e+02 +2.7034e+00 +2.4563e+00 +4.9808e+00 +5.0000e+00 +2.8206e+00
4411 +2.430675139e+02 +2.430675139e+02 +2.569975139e+02 +2.569975139e+02 +2.6880e+00 +2.4123e+00 +4.9892e+00 +4.8497e+00 +2.6354e+00
% function evaluation | noise-free fitness - Fopt (-3.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.106474401e+06 +2.106474401e+06 +2.106442651e+06 +2.106442651e+06 -3.2033e-01 -2.2460e-01 +4.7204e+00 +2.7647e+00 -3.4649e+00
8 +7.950804588e+05 +7.950804588e+05 +7.950487088e+05 +7.950487088e+05 +2.2226e+00 +8.2304e-01 -2.1363e-02 +4.8511e+00 -2.5022e+00
22 +2.302857831e+05 +2.302857831e+05 +2.302540331e+05 +2.302540331e+05 -4.1552e+00 -4.4433e+00 -1.3480e+00 +7.2113e-01 -1.2471e+00
25 +5.065786540e+04 +5.065786540e+04 +5.062611540e+04 +5.062611540e+04 -3.5144e+00 +2.2886e-01 -2.3508e+00 +1.7576e-01 +4.0814e+00
118 +3.197792736e+04 +3.197792736e+04 +3.194617736e+04 +3.194617736e+04 -3.5087e+00 -3.5455e-02 +4.6857e-01 +1.7742e+00 +1.5966e+00
200 +1.945562089e+04 +1.945562089e+04 +1.942387089e+04 +1.942387089e+04 +3.4492e+00 +9.9235e-01 +4.7594e+00 +4.4729e+00 -1.5699e+00
239 +1.016183766e+04 +1.016183766e+04 +1.013008766e+04 +1.013008766e+04 -6.6955e-01 -4.5804e+00 +5.0000e+00 +3.1302e+00 -5.0000e+00
696 +7.846067821e+03 +7.846067821e+03 +7.814317821e+03 +7.814317821e+03 -5.4152e-01 -1.7155e+00 +4.0830e+00 +3.4096e+00 -2.7948e+00
752 +4.594433831e+03 +4.594433831e+03 +4.562683831e+03 +4.562683831e+03 -2.0998e+00 -4.4348e+00 +5.0000e+00 +3.1611e+00 -5.0000e+00
878 +2.326235540e+03 +2.326235540e+03 +2.294485540e+03 +2.294485540e+03 -2.0061e+00 -5.0000e+00 +5.0000e+00 +2.7887e+00 -4.7782e+00
2066 +3.219653568e+02 +3.219653568e+02 +2.902153568e+02 +2.902153568e+02 -1.2039e+00 -1.2283e-01 +5.0000e+00 +4.5367e+00 -3.1500e+00
4066 +3.934033751e+01 +3.934033751e+01 +7.590337514e+00 +7.590337514e+00 -8.0380e-01 +1.0716e+00 +4.9297e+00 +4.8671e+00 -2.5980e+00
4573 +2.481729424e+01 +2.481729424e+01 -6.932705761e+00 -6.932705761e+00 -9.0481e-01 +1.0603e+00 +4.9346e+00 +4.8612e+00 -2.6004e+00
% function evaluation | noise-free fitness - Fopt (5.432000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.600074172e+06 +8.600074172e+06 +8.600128492e+06 +8.600128492e+06 +2.1447e+00 +1.4654e+00 +2.0110e+00 -1.9781e+00 +3.3459e+00
3 +5.855384157e+06 +5.855384157e+06 +5.855438477e+06 +5.855438477e+06 -2.8558e+00 -3.2552e+00 -4.9918e+00 -8.7419e-01 +2.1877e+00
11 +1.351470149e+06 +1.351470149e+06 +1.351524469e+06 +1.351524469e+06 -2.6560e+00 -4.9687e+00 -2.4010e+00 +2.0143e+00 +1.7370e+00
14 +1.426936027e+05 +1.426936027e+05 +1.427479227e+05 +1.427479227e+05 -3.1630e+00 +4.9446e+00 +1.5598e+00 -4.9673e+00 +4.0061e+00
118 +9.639250338e+04 +9.639250338e+04 +9.644682338e+04 +9.644682338e+04 -2.1258e-01 -1.1543e+00 +4.9403e-02 -1.5282e+00 -1.5775e+00
227 +4.763189825e+04 +4.763189825e+04 +4.768621825e+04 +4.768621825e+04 -3.4007e-01 +5.0000e+00 +2.0221e-03 -2.7981e+00 +5.5977e-01
346 +3.250912949e+04 +3.250912949e+04 +3.256344949e+04 +3.256344949e+04 -1.0962e+00 +2.8765e+00 -2.2183e-01 -1.8054e+00 +1.1184e+00
360 +4.521432804e+03 +4.521432804e+03 +4.575752804e+03 +4.575752804e+03 +7.3179e-01 +1.0292e+00 -5.4333e-01 -5.9518e-01 -1.7780e+00
1363 +1.239951447e+03 +1.239951447e+03 +1.294271447e+03 +1.294271447e+03 +7.7880e-01 +1.4480e+00 -4.3171e-01 +1.8992e-01 -1.0676e+00
2628 +9.602221411e+02 +9.602221411e+02 +1.014542141e+03 +1.014542141e+03 +7.4773e-01 +8.2619e-01 -4.8413e-01 +2.1868e-01 -1.4806e+00
3025 +3.463897964e+02 +3.463897964e+02 +4.007097964e+02 +4.007097964e+02 +7.8290e-01 +1.1722e+00 -7.6390e-01 +4.3716e-01 -1.2820e+00
