% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.356136601e+07 +3.356136601e+07 +3.356168620e+07 +3.356168620e+07 +7.9429e-01 +5.4723e-01 +3.7648e+00 +1.2696e+00 +2.8610e+00 +1.8259e+00 +2.7691e+00 +1.3697e+00 +4.5529e+00 -4.2219e+00 +3.9354e+00 -4.3510e+00 +2.1351e+00 +3.4325e+00 -2.0588e-01 -3.9942e+00 +3.5673e+00 -1.1255e+00 -1.4377e+00 -3.4189e+00
3 +1.596843625e+07 +1.596843625e+07 +1.596875644e+07 +1.596875644e+07 +8.6119e-01 +4.1931e+00 -4.5750e+00 -3.7849e+00 -2.4368e+00 +2.4430e+00 +4.8725e+00 +2.4380e+00 +2.3186e+00 +2.7412e+00 -4.4627e+00 -1.5149e+00 -1.7632e+00 +4.9962e+00 +3.4401e+00 -2.2855e+00 +6.8491e-01 +6.0751e-01 +7.7067e-01 +4.7792e+00
4 +1.223766751e+07 +1.223766751e+07 +1.223798770e+07 +1.223798770e+07 -6.4651e-01 +4.2014e+00 -3.2589e+00 +7.3744e-01 +1.7746e+00 -3.3536e+00 +4.8057e+00 +2.4288e+00 +3.8860e+00 +2.0267e+00 +2.4855e+00 +1.4805e+00 -1.6911e+00 +4.6650e+00 -3.5532e+00 +2.1620e+00 +5.8482e-01 -3.7793e+00 +4.8101e-02 +3.0531e+00
7 +8.793406022e+06 +8.793406022e+06 +8.793726212e+06 +8.793726212e+06 -1.6729e-01 -1.7975e-01 +2.8119e+00 -8.6896e-02 +2.0723e+00 +2.3275e+00 -2.7366e+00 -4.1139e+00 +4.0470e+00 +2.0435e+00 +4.7071e-01 -2.2980e+00 -3.9374e+00 -4.6095e+00 +6.6822e-01 +4.6321e+00 -3.2581e-02 -2.3881e+00 +3.5491e+00 -6.9181e-01
20 +2.379742369e+06 +2.379742369e+06 +2.380062559e+06 +2.380062559e+06 +5.8722e-01 +2.6676e+00 +1.3914e+00 +3.5770e+00 +2.4574e+00 +4.4001e+00 -9.3557e-01 +3.2918e+00 -2.6982e-01 -3.7389e+00 +4.3218e-01 -1.9571e-02 -1.2203e-01 -4.8688e+00 +4.4402e+00 -1.7724e+00 +8.7354e-01 +9.2647e-01 +2.4302e+00 +1.6498e+00
398 +1.468819952e+06 +1.468819952e+06 +1.469140142e+06 +1.469140142e+06 +2.1109e+00 +2.8362e-01 -3.1702e+00 -5.0000e+00 -7.6703e-01 -9.7744e-01 +2.9660e+00 +3.1756e+00 -3.5867e+00 +5.0000e+00 -2.5113e+00 -2.0524e+00 -2.6310e+00 -2.0882e+00 +1.4678e+00 -1.4804e+00 +2.7802e+00 +7.1356e-01 +3.4679e+00 +1.1975e+00
543 +7.693976386e+05 +7.693976386e+05 +7.697178286e+05 +7.697178286e+05 -1.3814e+00 +0.0000e+00 +1.6166e+00 -9.4295e-01 -5.0000e+00 -2.3676e+00 +4.6450e+00 +2.7122e+00 -7.8333e-01 +4.0063e+00 -2.9026e+00 +3.2501e+00 -3.5115e+00 -3.5234e+00 +1.0872e+00 -3.3674e-01 +4.1089e+00 +1.0681e+00 +2.4010e+00 +1.0673e+00
936 +5.237904296e+05 +5.237904296e+05 +5.241106196e+05 +5.241106196e+05 -3.8565e+00 -7.1445e-01 +4.9752e+00 +5.0000e+00 -4.5249e+00 -1.7101e+00 +2.4754e+00 +1.8580e+00 +2.5691e+00 +3.4913e+00 -1.9442e+00 +2.6862e+00 +2.3097e+00 -4.2624e+00 +2.7351e+00 +1.9283e+00 +3.9239e+00 +1.0989e+00 +3.4112e+00 +1.2341e+00
1010 +3.568060455e+05 +3.568060455e+05 +3.571262355e+05 +3.571262355e+05 -5.0000e+00 -7.4607e-01 +7.5783e-01 +5.0000e+00 -5.0000e+00 -2.0488e+00 +3.0271e+00 +9.7966e-01 +1.1030e+00 +3.4457e+00 -2.4958e+00 +2.0298e+00 +2.1590e+00 -3.0406e+00 +7.8740e-01 +3.2369e+00 +3.7795e+00 +7.3630e-01 +3.3628e+00 +1.2477e+00
